Stations ID; Zeit; QUALITAETS_NIVEAU; STRUKTUR_VERSION; Lufttemperatur [Grad C]; Relative Luftfeuchte [%]; eor                                                                                                                                                                                                                                                                 
    13667;  2020030604;   2;0;    7.0;   72;eor                                                                                                                                                         
    13667;  2020030605;   2;0;    6.6;   73;eor                                                                                                                                                         
    13667;  2020030606;   2;0;    6.2;   74;eor                                                                                                                                                         
    13667;  2020030607;   2;0;    5.7;   74;eor                                                                                                                                                         
    13667;  2020030608;   2;0;    5.6;   74;eor                                                                                                                                                         
    13667;  2020030609;   2;0;    5.8;   72;eor                                                                                                                                                         
    13667;  2020030610;   2;0;    5.8;   72;eor                                                                                                                                                         
    13667;  2020030611;   2;0;    6.2;   70;eor                                                                                                                                                         
    13667;  2020030612;   2;0;    6.5;   70;eor                                                                                                                                                         
    13667;  2020030613;   2;0;    6.4;   70;eor                                                                                                                                                         
    13667;  2020030614;   2;0;    6.3;   73;eor                                                                                                                                                         
    13667;  2020030615;   2;0;    5.9;   78;eor                                                                                                                                                         
    13667;  2020030616;   2;0;    5.5;   83;eor                                                                                                                                                         
    13667;  2020030617;   2;0;    5.3;   86;eor                                                                                                                                                         
    13667;  2020030618;   2;0;    5.3;   84;eor                                                                                                                                                         
    13667;  2020030619;   2;0;    5.6;   83;eor                                                                                                                                                         
    13667;  2020030620;   2;0;    5.7;   83;eor                                                                                                                                                         
    13667;  2020030621;   2;0;    5.6;   84;eor                                                                                                                                                         
    13667;  2020030622;   2;0;    5.3;   87;eor                                                                                                                                                         
    13667;  2020030623;   2;0;    5.3;   88;eor                                                                                                                                                         
    13667;  2020030700;   2;0;    5.2;   89;eor                                                                                                                                                         
    13667;  2020030701;   2;0;    5.2;   85;eor                                                                                                                                                         
    13667;  2020030702;   2;0;    5.2;   83;eor                                                                                                                                                         
    13667;  2020030703;   2;0;    5.1;   85;eor                                                                                                                                                         
    13667;  2020030704;   2;0;    4.9;   83;eor                                                                                                                                                         
    13667;  2020030705;   2;0;    4.4;   83;eor                                                                                                                                                         
    13667;  2020030706;   2;0;    3.8;   81;eor                                                                                                                                                         
    13667;  2020030707;   2;0;    3.5;   84;eor                                                                                                                                                         
    13667;  2020030708;   2;0;    4.6;   78;eor                                                                                                                                                         
    13667;  2020030709;   2;0;    5.8;   64;eor                                                                                                                                                         
    13667;  2020030710;   2;0;    6.8;   53;eor                                                                                                                                                         
    13667;  2020030711;   2;0;    7.0;   52;eor                                                                                                                                                         
    13667;  2020030712;   2;0;    7.5;   54;eor                                                                                                                                                         
    13667;  2020030713;   2;0;    7.9;   53;eor                                                                                                                                                         
    13667;  2020030714;   2;0;    7.7;   56;eor                                                                                                                                                         
    13667;  2020030715;   2;0;    7.4;   56;eor                                                                                                                                                         
    13667;  2020030716;   2;0;    7.6;   54;eor                                                                                                                                                         
    13667;  2020030717;   2;0;    7.6;   55;eor                                                                                                                                                         
    13667;  2020030718;   2;0;    6.9;   64;eor                                                                                                                                                         
    13667;  2020030719;   2;0;    5.9;   71;eor                                                                                                                                                         
    13667;  2020030720;   2;0;    4.6;   77;eor                                                                                                                                                         
    13667;  2020030721;   2;0;    3.9;   78;eor                                                                                                                                                         
    13667;  2020030722;   2;0;    3.7;   75;eor                                                                                                                                                         
    13667;  2020030723;   2;0;    3.3;   76;eor                                                                                                                                                         
    13667;  2020030800;   2;0;    3.5;   73;eor                                                                                                                                                         
    13667;  2020030801;   2;0;    3.4;   73;eor                                                                                                                                                         
    13667;  2020030802;   2;0;    2.9;   76;eor                                                                                                                                                         
    13667;  2020030803;   2;0;    2.8;   74;eor                                                                                                                                                         
    13667;  2020030804;   2;0;    2.7;   73;eor                                                                                                                                                         
    13667;  2020030805;   2;0;    3.1;   69;eor                                                                                                                                                         
    13667;  2020030806;   2;0;    2.8;   71;eor                                                                                                                                                         
    13667;  2020030807;   2;0;    3.4;   68;eor                                                                                                                                                         
    13667;  2020030808;   2;0;    4.8;   64;eor                                                                                                                                                         
    13667;  2020030809;   2;0;    7.3;   57;eor                                                                                                                                                         
    13667;  2020030810;   2;0;    8.8;   48;eor                                                                                                                                                         
    13667;  2020030811;   2;0;    9.9;   48;eor                                                                                                                                                         
    13667;  2020030812;   2;0;   11.0;   49;eor                                                                                                                                                         
    13667;  2020030813;   2;0;   12.0;   49;eor                                                                                                                                                         
    13667;  2020030814;   2;0;   11.6;   52;eor                                                                                                                                                         
    13667;  2020030815;   2;0;   12.2;   49;eor                                                                                                                                                         
    13667;  2020030816;   2;0;   11.9;   49;eor                                                                                                                                                         
    13667;  2020030817;   2;0;   11.7;   49;eor                                                                                                                                                         
    13667;  2020030818;   2;0;   11.0;   55;eor                                                                                                                                                         
    13667;  2020030819;   2;0;    9.9;   59;eor                                                                                                                                                         
    13667;  2020030820;   2;0;    9.3;   64;eor                                                                                                                                                         
    13667;  2020030821;   2;0;   10.8;   55;eor                                                                                                                                                         
    13667;  2020030822;   2;0;    8.7;   80;eor                                                                                                                                                         
    13667;  2020030823;   2;0;    8.2;   83;eor                                                                                                                                                         
    13667;  2020030900;   2;0;    8.7;   78;eor                                                                                                                                                         
    13667;  2020030901;   2;0;    9.1;   73;eor                                                                                                                                                         
    13667;  2020030902;   2;0;    9.1;   73;eor                                                                                                                                                         
    13667;  2020030903;   2;0;    8.5;   78;eor                                                                                                                                                         
    13667;  2020030904;   2;0;    6.4;   89;eor                                                                                                                                                         
    13667;  2020030905;   2;0;    5.8;   90;eor                                                                                                                                                         
    13667;  2020030906;   2;0;    5.8;   88;eor                                                                                                                                                         
